Date,EURUSD_signal,EURUSD_score,EURUSD_rate_diff,GBPUSD_signal,GBPUSD_score,GBPUSD_rate_diff,USDCAD_signal,USDCAD_score,USDCAD_rate_diff,USDJPY_signal,USDJPY_score,USDJPY_rate_diff
2010-01-01,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-04,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-05,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-06,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-07,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-08,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-11,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-12,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-13,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-14,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-15,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-18,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-19,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-20,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-21,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-22,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-25,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-26,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-27,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-28,0,,0.14,0,,0.39,0,,-0.39,0,,-0.19
2010-01-29,1,0.012522946001003874,0.14,1,0.03795842377029157,0.39,-1,-0.041092522410212814,-0.39,-1,-0.017418973483434134,-0.19
2010-02-01,1,0.010796393052699277,0.12,1,0.035920126310750235,0.37,-1,-0.03919357462037842,-0.37,-1,-0.01606803554953354,-0.16999999999999998
2010-02-02,1,0.011043861554345481,0.12,1,0.037038513623471866,0.37,-1,-0.03889156915630887,-0.37,-1,-0.016375794544755,-0.16999999999999998
2010-02-03,1,0.01078133659342864,0.12,1,0.03630986301852484,0.37,-1,-0.040120484703727956,-0.37,-1,-0.016182771665341135,-0.16999999999999998
2010-02-04,1,0.010616787116238566,0.12,1,0.03588850938132568,0.37,-1,-0.04087693232240941,-0.37,-1,-0.01492855651533487,-0.16999999999999998
2010-02-05,1,0.010288077401688989,0.12,1,0.03451249835460935,0.37,-1,-0.04116959531012291,-0.37,-1,-0.015176402481003872,-0.16999999999999998
