country,country_code,year,exports_goods_services,imports_goods_services,merchandise_exports,merchandise_imports,trade_balance,trade_balance_ratio,merchandise_trade_balance
Australia,AUS,2015,271152836560.501,291850364122.4,187684000000.0,208501000000.0,-20697527561.899017,-0.0367627173998189,-20817000000.0
Australia,AUS,2016,232663011512.861,261827324555.529,192505000000.0,196270000000.0,-29164313042.668,-0.05897852984256189,-3765000000.0
Australia,AUS,2017,281774035049.614,277671313150.053,231131000000.0,228780000000.0,4102721899.561035,0.007333552620937634,2351000000.0
Australia,AUS,2018,312605804111.245,311861687284.904,257098000000.0,235386000000.0,744116826.3410034,0.0011916021836098293,21712000000.0
Australia,AUS,2019,336477593836.115,306786753625.531,271005000000.0,221564000000.0,29690840210.583984,0.046156514546073564,49441000000.0
Australia,AUS,2020,319174580744.374,274154332727.111,250823000000.0,211824000000.0,45020248017.26303,0.07587738772724865,38999000000.0
Australia,AUS,2021,343364164705.654,284038962017.929,344864000000.0,261165000000.0,59325202687.724976,0.0945567533230705,83699000000.0
Australia,AUS,2022,431702961776.761,343078219088.328,412683000000.0,309189000000.0,88624742688.43298,0.11438680349654107,103494000000.0
Australia,AUS,2023,463106247223.68,387533147572.319,371407000000.0,287406000000.0,75573099651.36102,0.08884269893176652,84001000000.0
Canada,CAN,2015,495747450357.728,534115083556.223,410062000000.0,430124000000.0,-38367633198.494995,-0.03725510146745542,-20062000000.0
Canada,CAN,2016,481357649980.237,517396012626.09,389991000000.0,412940000000.0,-36038362645.85303,-0.036083334655122125,-22949000000.0
Canada,CAN,2017,518766780219.71,554922650425.45,420665000000.0,443651000000.0,-36155870205.73993,-0.03367442127470189,-22986000000.0
Canada,CAN,2018,557719627178.031,591347645767.306,452313000000.0,469106000000.0,-33628018589.275024,-0.029265491569591302,-16793000000.0
Canada,CAN,2019,564142104614.779,589706748631.384,448817000000.0,462993000000.0,-25564644016.60498,-0.022155972980935135,-14176000000.0
Canada,CAN,2020,487990676642.934,524572641557.224,390821000000.0,420934000000.0,-36581964914.28998,-0.036128076394585186,-30113000000.0
Canada,CAN,2021,630478158309.719,628388638999.206,509441000000.0,506476000000.0,2089519310.5129395,0.0016598414661342226,2965000000.0
Canada,CAN,2022,743495409319.726,731037232134.525,602514000000.0,585878000000.0,12458177185.200928,0.008448898881556198,16636000000.0
Canada,CAN,2023,724806087191.631,723340802845.546,570209000000.0,570765000000.0,1465284346.084961,0.0010118340592143549,-556000000.0
Germany,DEU,2015,1458592274325.0,1204648073431.64,1326206000000.0,1051132000000.0,253944200893.3601,0.09535158969308499,275074000000.0
Germany,DEU,2016,1472560807845.53,1215609853746.31,1334355000000.0,1055326000000.0,256950954099.21997,0.09558580404529178,279029000000.0
Germany,DEU,2017,1592765732735.3,1326138381464.71,1448191000000.0,1162907000000.0,266627351270.5901,0.09134501882863844,285284000000.0
Germany,DEU,2018,1726455112200.0,1483856351069.02,1560539000000.0,1284353000000.0,242598761130.97998,0.07556860569657771,276186000000.0
Germany,DEU,2019,1677314255411.76,1454172759796.08,1489412000000.0,1233978000000.0,223141495615.67993,0.07125735937336142,255434000000.0
Germany,DEU,2020,1543321676059.15,1332716704314.4,1382533000000.0,1171782000000.0,210604971744.75,0.07322745523215024,210751000000.0
Germany,DEU,2021,1854878618151.13,1630569552864.31,1627375000000.0,1411439000000.0,224309065286.81982,0.06435587456217153,215936000000.0
Germany,DEU,2022,1906115968542.81,1802154794791.84,1676472000000.0,1583619000000.0,103961173750.96997,0.028034946848779517,92853000000.0
Germany,DEU,2023,1964261782880.43,1782980609876.5,1702278000000.0,1467598000000.0,181281173003.92993,0.04837722090098296,234680000000.0
Japan,JPN,2015,775051882733.212,799671850411.581,624921000000.0,648117000000.0,-24619967678.36902,-0.01563446791343003,-23196000000.0
Japan,JPN,2016,803489014102.661,763174802438.923,645052000000.0,607728000000.0,40314211663.73804,0.025732522343390685,37324000000.0
Japan,JPN,2017,867405253150.188,829947425329.105,698329000000.0,672096000000.0,37457827821.08301,0.022068382308526802,26233000000.0
Japan,JPN,2018,923234601723.625,922228472388.616,738143000000.0,748488000000.0,1006129335.0090332,0.0005451907161529261,-10345000000.0
Japan,JPN,2019,893782209080.495,908591904960.75,705564000000.0,720957000000.0,-14809695880.255005,-0.008216771293418667,-15393000000.0
Japan,JPN,2020,785057625362.297,798645128766.751,641319000000.0,635460000000.0,-13587503404.45398,-0.00857957932385259,5859000000.0
