currency,year,trade_balance_signal,merchandise_signal,exports_usd,imports_usd
AUD,2015,-0.3519144847246401,-0.20521422630582212,271152836560.501,291850364122.4
CAD,2015,-0.3562210411601682,-0.1979710938915732,495747450357.728,534115083556.223
EUR,2015,0.74137063592783,0.9918717143380305,1458592274325.0,1204648073431.64
JPY,2015,-0.15508313375554336,-0.22788739223503585,775051882733.212,799671850411.581
NZD,2015,0.18316715952787838,-0.021986456189923485,49784689412.298,47973639707.8052
NOK,2015,0.7415452452041622,0.2681876572536102,149733264441.459,123654686369.743
SEK,2015,0.36907680180215185,0.016248569812521697,219284872891.792,202930207436.24
CHF,2015,0.7153390398207636,0.3513035016037785,443048390064.017,370031119305.329
GBP,2015,-0.25827365486773424,-0.9276861497979622,815304691846.949,859564412420.216
USD,2015,-0.7759327321698191,-0.9999998255160203,2270622000000.0,2794942000000.0
AUD,2016,-0.5297411743023042,-0.037632220173878385,232663011512.861,261827324555.529
CAD,2016,-0.34594785722548227,-0.2255443518239201,481357649980.237,517396012626.09
EUR,2016,0.7424236357719644,0.9924875685762283,1472560807845.53,1215609853746.31
JPY,2016,0.2517920268710874,0.3568224510744926,803489014102.661,763174802438.923
NZD,2016,0.15455364900094884,-0.023225822344335526,50322131532.6917,48778127773.6204
NOK,2016,0.3793083537113631,0.1615715962519813,133315000000.0,123078452380.952
SEK,2016,0.2978034356258793,-0.01730827130689425,220653333190.583,207504289792.387
CHF,2016,0.6722906936681824,0.316470610074559,459636103721.801,390368282229.566
GBP,2016,-0.3072798108921405,-0.978403196194982,777214710110.264,828192624115.954
USD,2016,-0.7664751564784881,-0.9999997710387207,2235558000000.0,2738830000000.0
AUD,2017,0.07320433983222516,0.023505669474241268,281774035049.614,277671313150.053
CAD,2017,-0.3245676708254253,-0.22589550050982635,518766780219.71,554922650425.45
EUR,2017,0.722784118524341,0.993368036146093,1592765732735.3,1326138381464.71
JPY,2017,0.21716973031584616,0.2564735658937895,867405253150.188,829947425329.105
NZD,2017,0.1796911695025809,-0.020497128774318737,56986304614.2734,54952779636.3293
NOK,2017,0.5582409959827228,0.19550056722592055,147570139028.813,130071126334.878
SEK,2017,0.21396004019228673,-0.012949276132766033,235309948216.298,225300076530.665
CHF,2017,0.6255720119982124,0.28919722632110273,461255257229.42,398164579098.364
GBP,2017,-0.2092995308950291,-0.9640311124467915,827907141571.723,863846532337.868
USD,2017,-0.7704053002304495,-0.9999999351320941,2388260000000.0,2931589000000.0
AUD,2018,0.011915457876554306,0.213771370932045,312605804111.245,311861687284.904
CAD,2018,-0.28457656222156574,-0.16636903646675374,557719627178.031,591347645767.306
EUR,2018,0.6385289300857127,0.9920497813734618,1726455112200.0,1483856351069.02
JPY,2018,0.005451853145962512,-0.10308253567561478,923234601723.625,922228472388.616
