date,portfolio_value,total_exposure,cash,num_positions,returns,cumulative_returns
2010-01-01,1000000.0,0.0,1000000.0,0,,0.0
2010-01-04,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-05,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-06,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-07,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-08,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-11,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-12,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-13,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-14,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-15,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-18,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-19,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-20,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-21,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-22,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-25,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-26,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-27,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-28,1000000.0,0.0,1000000.0,0,0.0,0.0
2010-01-29,997641.8704777956,23581295.22204399,-22583653.351566195,4,-0.0023581295222043774,-0.0023581295222043774
2010-02-01,877907.4640065397,23702413.529157642,-22824506.065151103,4,-0.12001742309984653,-0.12209253599346037
2010-02-02,964257.3387414218,23620503.067970276,-22656245.729228854,4,0.09835874311946724,-0.03574266125857817
2010-02-03,856422.6717740297,23720975.84605217,-22864553.17427814,4,-0.11183183434013699,-0.14357732822597025
2010-02-04,1203714.9162083864,23358371.764421463,-22154656.848213077,4,0.40551500547616404,0.20371491620838644
2010-02-05,1247072.3480969667,23306177.94394493,-22059105.595847964,4,0.03601968481470097,0.24707234809696677
2010-02-08,1243468.5916692019,23304414.182901382,-22060945.59123218,4,-0.0028897733425524708,0.24346859166920187
2010-02-09,1114445.1887398958,23445699.03612137,-22331253.847381473,4,-0.10376088611623735,0.11444518873989584
2010-02-10,1072478.3630162477,23482133.5375309,-22409655.17451465,4,-0.037657146486584914,0.07247836301624777
2010-02-11,1105890.6109124422,23449644.38676834,-22343753.7758559,4,0.031154239608364165,0.10589061091244223
2010-02-12,1069559.076526761,23483437.538146973,-22413878.46162021,4,-0.03285273789937049,0.06955907652676108
2010-02-15,1043268.6224937439,23114866.67394638,-22071598.051452637,3,-0.02458064693199713,0.04326862249374397
2010-02-16,1000275.4385501146,22821850.836277008,-21821575.397726893,2,-0.041210080526395854,0.00027543855011469276
2010-02-17,798075.5026370322,23024050.77219009,-22225975.269553058,2,-0.2021442575918574,-0.2019244973629678
2010-02-18,565299.4270354509,23256826.84779167,-22691527.42075622,2,-0.29167174638544036,-0.4347005729645491
2010-02-19,677287.3986721039,23531402.17065811,-22854114.771986008,3,0.19810381238831498,-0.32271260132789614
2010-02-22,753350.2269744873,23456464.85686302,-22703114.629888535,3,0.11230509891592977,-0.24664977302551272
2010-02-23,1017856.477651,22926149.010658264,-21908292.533007264,2,0.3511066184167624,0.017856477650999958
2010-02-24,987353.3511847258,23293756.633996964,-22306403.282812238,3,-0.029968003481855465,-0.01264664881527422
2010-02-25,1235068.5577064753,23302222.01347351,-22067153.455767035,4,0.2508881002171268,0.23506855770647528
2010-02-26,1326861.5728229284,22611225.00896454,-21284363.43614161,2,0.07432220223216834,0.3268615728229285
2010-03-01,1263067.6896989346,22287500.381469727,-21024432.691770792,1,-0.04807877809609851,0.26306768969893457
2010-03-02,1365534.55362916,22525515.43712616,-21159980.883497,2,0.0811253939641583,0.3655345536291599
2010-03-03,1410033.1600546837,22742990.761995316,-21332957.601940632,3,0.032586950148760785,0.4100331600546836
2010-03-04,1259741.419160366,22887401.01456642,-21627659.595406055,3,-0.10658738046166871,0.25974141916036597
2010-03-05,994211.2494826317,597924.7987270355,396286.45075559616,2,-0.21078148708860722,-0.0057887505173682685
2010-03-08,994134.6575140953,597398.191690445,396736.46582365036,2,-7.703792184632352e-05,-0.0058653424859046455
2010-03-09,991872.2467690706,23469531.893730164,-22477659.646961093,4,-0.002275758850095788,-0.008127753230929402
