date,portfolio_value,total_exposure,cash,num_positions,returns
2010-01-01,1000000.0,0.0,1000000.0,0,0.0
2010-01-04,1000000.0,0.0,1000000.0,0,0.0
2010-01-05,1000000.0,0.0,1000000.0,0,0.0
2010-01-06,1000000.0,0.0,1000000.0,0,0.0
2010-01-07,1000000.0,0.0,1000000.0,0,0.0
2010-01-08,1000000.0,0.0,1000000.0,0,0.0
2010-01-11,1000000.0,0.0,1000000.0,0,0.0
2010-01-12,1000000.0,0.0,1000000.0,0,0.0
2010-01-13,1000000.0,0.0,1000000.0,0,0.0
2010-01-14,1000000.0,0.0,1000000.0,0,0.0
2010-01-15,1000000.0,0.0,1000000.0,0,0.0
2010-01-18,1000000.0,0.0,1000000.0,0,0.0
2010-01-19,1000000.0,0.0,1000000.0,0,0.0
2010-01-20,1000000.0,0.0,1000000.0,0,0.0
2010-01-21,1000000.0,0.0,1000000.0,0,0.0
2010-01-22,1000000.0,0.0,1000000.0,0,0.0
2010-01-25,1000000.0,0.0,1000000.0,0,0.0
2010-01-26,1000000.0,0.0,1000000.0,0,0.0
2010-01-27,1000000.0,0.0,1000000.0,0,0.0
2010-01-28,1000000.0,0.0,1000000.0,0,0.0
2010-01-29,997641.8704777956,23581295.22204399,-22583653.351566195,4,-0.0023581295222043774
2010-02-01,877907.4640065397,23702413.529157642,-22824506.065151103,4,-0.12001742309984653
2010-02-02,964257.3387414218,23620503.067970276,-22656245.729228854,4,0.09835874311946724
2010-02-03,856422.6717740297,23720975.84605217,-22864553.17427814,4,-0.11183183434013699
2010-02-04,1203714.9162083864,23358371.764421463,-22154656.848213077,4,0.40551500547616404
2010-02-05,1247072.3480969667,23306177.94394493,-22059105.595847964,4,0.03601968481470097
2010-02-08,1243468.5916692019,23304414.182901382,-22060945.59123218,4,-0.0028897733425524708
2010-02-09,1114445.1887398958,23445699.03612137,-22331253.847381473,4,-0.10376088611623735
2010-02-10,1072478.3630162477,23482133.5375309,-22409655.17451465,4,-0.037657146486584914
2010-02-11,1105890.6109124422,23449644.38676834,-22343753.7758559,4,0.031154239608364165
2010-02-12,1069559.076526761,23483437.538146973,-22413878.46162021,4,-0.03285273789937049
2010-02-15,1043268.6224937439,23114866.67394638,-22071598.051452637,3,-0.02458064693199713
2010-02-16,1000275.4385501146,22821850.836277008,-21821575.397726893,2,-0.041210080526395854
2010-02-17,798075.5026370322,23024050.77219009,-22225975.269553058,2,-0.2021442575918574
2010-02-18,565299.4270354509,23256826.84779167,-22691527.42075622,2,-0.29167174638544036
2010-02-19,677287.3986721039,23531402.17065811,-22854114.771986008,3,0.19810381238831498
2010-02-22,753350.2269744873,23456464.85686302,-22703114.629888535,3,0.11230509891592977
2010-02-23,1017856.477651,22926149.010658264,-21908292.533007264,2,0.3511066184167624
2010-02-24,987353.3511847258,23293756.633996964,-22306403.282812238,3,-0.029968003481855465
2010-02-25,1235068.5577064753,23302222.01347351,-22067153.455767035,4,0.2508881002171268
2010-02-26,1326861.5728229284,22611225.00896454,-21284363.43614161,2,0.07432220223216834
2010-03-01,1263067.6896989346,22287500.381469727,-21024432.691770792,1,-0.04807877809609851
2010-03-02,1365534.55362916,22525515.43712616,-21159980.883497,2,0.0811253939641583
2010-03-03,1410033.1600546837,22742990.761995316,-21332957.601940632,3,0.032586950148760785
2010-03-04,1259741.419160366,22887401.01456642,-21627659.595406055,3,-0.10658738046166871
2010-03-05,994211.2494826317,597924.7987270355,396286.45075559616,2,-0.21078148708860722
2010-03-08,994134.6575140953,597398.191690445,396736.46582365036,2,-7.703792184632352e-05
2010-03-09,991872.2467690706,23469531.893730164,-22477659.646961093,4,-0.002275758850095788
2010-03-10,871723.5284119844,23589184.58223343,-22717461.053821445,4,-0.12113325959916632
2010-03-11,831260.36888659,23260008.63313675,-22428748.26425016,3,-0.0464174227339097
2010-03-12,861526.0875850916,23233973.532915115,-22372447.445330024,3,0.03640943299033994
2010-03-15,914180.3435623646,22834724.93290901,-21920544.589346647,2,0.06111742492309902
2010-03-16,923080.0620853901,22825825.214385986,-21902745.152300596,2,0.009735189107594744
2010-03-17,895605.3010761774,22853299.9753952,-21957694.67431902,2,-0.02976422321065275
2010-03-18,875470.4043805599,23213749.915361404,-22338279.510980844,3,-0.022481886464297385
2010-03-19,862821.2258756161,23222547.382116318,-22359726.1562407,3,-0.0144484364538785
2010-03-22,908496.7718064785,23178377.80714035,-22269881.03533387,3,0.05293743890515623
2010-03-23,899615.6499326229,23182307.1539402,-22282691.504007578,3,-0.009775622929508176
2010-03-24,482389.41623568535,23259374.976158142,-22776985.559922457,2,-0.4637827651488565
2010-03-25,357558.50631893036,23716849.47609901,-23359290.96978008,3,-0.2587762204462737
2010-03-26,360955.7649701869,23383315.95063209,-23022360.185661905,2,0.009501266481481307
2010-03-29,366444.75670755265,23377826.958894726,-23011382.202187173,2,0.01520682662547057
2010-03-30,284513.2224947214,23795326.91836357,-23510813.69586885,3,-0.22358495438431958
2010-03-31,112437.9508882761,23971600.085496902,-23859162.134608626,3,-0.6048058859887886
2010-04-01,33623.42112958431,24436472.74374962,-24402849.322620034,4,-0.7009602108189057
2010-04-02,-140908.86945426458,24265300.989151,-24406209.858605266,3,-5.190795127931905
2010-04-05,-86635.80054938438,24215425.55093765,-24302061.351487033,3,-0.3851643201388104
2010-04-06,46937.493136525096,24080497.324466705,-24033559.83133018,3,-1.541779412654814
2010-04-07,166616.10966026783,23959375.619888306,-23792759.510228038,3,2.549744533131299
2010-04-08,140616.0569697583,23987425.59552193,-23846809.538552172,3,-0.156047651955888
2010-04-09,207562.5038653612,23924824.80406761,-23717262.30020225,3,0.47609389950395786
2010-04-12,201814.20212090015,23930773.973464966,-23728959.771344066,3,-0.027694316831857968
2010-04-13,202983.31742584705,23929793.924093246,-23726810.6066674,3,0.005793027907156523
2010-04-14,171619.63646709567,23965880.498290066,-23794260.86182297,3,-0.154513589375191
2010-04-15,240052.1314650774,23897113.025188446,-23657060.89372337,3,0.3987451343372481
2010-04-16,457315.4426127672,23674776.643514633,-23217461.200901866,3,0.905067202785063
2010-04-19,378672.4186450243,23751982.420682907,-23373310.002037883,3,-0.17196669222109362
2010-04-20,205760.5362445116,23926319.807767868,-23720559.271523356,3,-0.45662655605927305
2010-04-21,235938.55479657304,24233331.12895489,-23997392.57415832,4,0.14666572659103094
2010-04-22,145273.13487231737,23984249.979257584,-23838976.844385266,3,-0.38427555853441453
2010-04-23,8125.544354316109,24121799.54349995,-24113673.999145634,3,-0.9440671232058304
2010-04-26,22471.711799502435,24111748.00992012,-24089276.298120618,3,1.765563858815928
2010-04-27,202090.72606265912,23921114.832162853,-23719024.106100194,3,7.993116673342783
2010-04-28,-1593.5741215943708,24122631.49023056,-24124225.064352155,3,-1.00788543914232
2010-04-29,-9524.89598095056,24138150.840997692,-24147675.736978643,3,4.977064920846544
2010-04-30,31301.336443427834,23840003.222227093,-23808701.885783665,2,-4.286265435972146
2010-05-03,-185470.08737325663,24054231.55426979,-24239701.641643047,2,-6.925308898821754
2010-05-04,-193003.07139158243,24055697.441101074,-24248700.512492657,2,0.04061562770046989
2010-05-05,38499.13374185213,23822699.218988422,-23784200.08524657,2,-1.199474202479097
2010-05-06,768125.8272290266,371598.0052947998,396527.8219342268,1,18.95176910679428
2010-05-07,766104.2760968244,369576.45416259766,396527.8219342268,1,-0.002631796849605683
2010-05-10,768076.1169552839,371548.29502105707,396527.82193422684,1,0.00257385439552138
2010-05-11,769550.795471672,373022.9735374451,396527.82193422684,1,0.0019199640293905418
2010-05-12,767453.1888127364,370925.3668785095,396527.8219342269,1,-0.0027257546496978202
2010-05-13,761875.356352333,365347.5344181061,396527.8219342269,1,-0.007267977437206863
2010-05-14,759942.8086549081,0.0,759942.8086549081,0,-0.0025365667511250134
2010-05-17,759942.8086549081,0.0,759942.8086549081,0,0.0
2010-05-18,759942.8086549081,0.0,759942.8086549081,0,0.0
2010-05-19,759906.7669034041,360417.515039444,399489.2518639601,1,-4.742692620218758e-05
2010-05-20,758200.1965165175,358710.9446525574,399489.2518639602,1,-0.0022457628504096716
2010-05-21,761514.274370674,362025.0225067139,399489.2518639601,1,0.004370979946170861
2010-05-24,759714.6015286483,360225.3496646881,399489.2518639602,1,-0.002363281822278407
2010-05-25,759865.1926636733,360375.9407997131,399489.25186396023,1,0.0001982206669741693
2010-05-26,759087.6500725785,359598.3982086182,399489.25186396023,1,-0.0010232638612768241
2010-05-27,763501.5528321305,364012.3009681702,399489.25186396023,1,0.005814747162768308
2010-05-28,760813.1449341812,361323.89307022095,399489.2518639603,1,-0.003521155769725448
2010-05-31,762539.4444584885,363050.1925945282,399489.2518639603,1,0.0022690190565208823
2010-06-01,766129.0339946785,0.0,766129.0339946785,0,0.004707414891486961
2010-06-02,766129.0339946785,0.0,766129.0339946785,0,0.0
2010-06-03,766129.0339946785,0.0,766129.0339946785,0,0.0
2010-06-04,766129.0339946785,0.0,766129.0339946785,0,0.0
2010-06-07,766129.0339946785,0.0,766129.0339946785,0,0.0
2010-06-08,766092.9115235844,361224.7109413147,404868.2005822697,1,-4.714933058436177e-05
2010-06-09,768568.0242002049,363699.8236179352,404868.2005822697,1,0.0032308257123774275
2010-06-10,772543.3608561793,0.0,772543.3608561793,0,0.005172394024733462
2010-06-11,772543.3608561793,0.0,772543.3608561793,0,0.0
2010-06-14,772543.3608561793,0.0,772543.3608561793,0,0.0
2010-06-15,772543.3608561793,0.0,772543.3608561793,0,0.0
2010-06-16,770258.4607631007,22849000.93078613,-22078742.47002303,1,-0.002957633459623965
2010-06-17,909260.3070765736,22709999.084472656,-21800738.777396083,1,0.18046130408715388
2010-06-18,944229.1720986334,22984823.137521747,-22040593.965423115,2,0.03845858523670809
2010-06-21,868528.9663463798,23312476.426362995,-22443947.460016616,3,-0.08017143294143636
2010-06-22,980055.1873832945,23198901.71289444,-22218846.525511146,3,0.12840817676590488
2010-06-23,1135929.6185165648,23045227.52761841,-21909297.909101844,3,0.15904658547795503
2010-06-24,1205478.6249816422,23349862.12849617,-22144383.50351453,4,0.061226510279662305
2010-06-25,1331664.2209708695,23232249.826192856,-21900585.605221987,4,0.10467675940015031
2010-06-28,1288887.1595084672,23271773.785352707,-21982886.62584424,4,-0.03212300878010754
2010-06-29,1447134.4217479234,23106720.328330994,-21659585.90658307,4,0.1227782130282109
2010-06-30,1498047.3868817096,22786858.9758873,-21288811.58900559,3,0.035181918395867484
2010-07-01,1717994.126400352,22856501.281261444,-21138507.154861093,4,0.14682228442484524
2010-07-02,1672181.638798118,22907449.96070862,-21235268.3219105,4,-0.026666265558324742
2010-07-05,1710082.3548644786,22864200.26421547,-21154117.90935099,4,0.022665430110571982
2010-07-06,1751580.6284755473,22827650.18939972,-21076069.560924172,4,0.02426682755542342
2010-07-07,1704145.6428378825,22877263.66519928,-21173118.022361398,4,-0.02708124585674876
2010-07-08,1523781.6897243266,23059501.40953064,-21535719.719806314,4,-0.10583834419997051
2010-07-09,1482780.6678622966,23093648.433685303,-21610867.765823007,4,-0.026907412090932614
2010-07-12,1462358.5668414836,23109176.39732361,-21646817.830482125,4,-0.013772840085820137
2010-07-13,1432481.589636207,23153649.121522903,-21721167.531886697,4,-0.020430678140592518
2010-07-14,1565335.0678294902,23025926.291942596,-21460591.224113107,4,0.09274358508650882
2010-07-15,1805589.112362266,22803825.199604034,-20998236.08724177,4,0.1534841002865377
2010-07-16,1992578.449568153,22610195.130109787,-20617616.680541635,4,0.10356140050116225
2010-07-19,1941182.169041038,22657901.108264923,-20716718.939223886,4,-0.025793855463133175
2010-07-20,1823941.0546630626,22775907.307863235,-20951966.253200173,4,-0.06039676041115383
2010-07-21,1912440.1238769297,22675988.04831505,-20763547.92443812,4,0.04852079456603686
2010-07-22,1855167.7790492778,22744420.94564438,-20889253.1665951,4,-0.029947261675073333
2010-07-23,1760684.5525115733,22847750.75316429,-21087066.20065272,4,-0.050929747489536825
2010-07-26,1895605.4774135356,22719673.931598663,-20824068.45418513,4,0.0766298112342163
2010-07-27,1692503.425201774,22927272.260189056,-21234768.834987283,4,-0.10714363016553674
2010-07-28,1783016.2373393779,22837130.844593048,-21054114.60725367,4,0.053478658175721616
2010-07-29,1978591.6236251597,22646758.82458687,-20668167.20096171,4,0.10968794461323594
2010-07-30,2041706.4455360179,22585475.53420067,-20543769.08866465,4,0.031898862381323445
2010-08-02,2012328.2101958995,22631795.912981033,-20619467.702785134,4,-0.014389059408785654
2010-08-03,2219191.8221324687,22430189.073085785,-20210997.250953317,4,0.10279814738393545
2010-08-04,2219206.8127006297,22430174.082517624,-20210967.269816995,4,6.7549672864153365e-06
2010-08-05,2087631.4369052653,22555700.838565826,-20468069.40166056,4,-0.05928937088799113
2010-08-06,2205200.496038795,22439268.49961281,-20234068.003574014,4,0.05631696144019349
2010-08-09,2329381.587824226,22324635.356664658,-19995253.768840432,4,0.056312835049918464
2010-08-10,2188232.6927989726,22459402.14395523,-20271169.45115626,4,-0.06059500760332459
2010-08-11,2319303.7536948924,22323671.966791153,-20004368.21309626,4,0.05989813666857646
2010-08-12,2347854.736170173,22266821.175813675,-19918966.439643502,4,0.012310152316097556
